,Season,TeamID,FGM,FGM%,FGA,FGM3,FGM3%,FGA3,FTM,FTM%,FTA,OR,DR,Ast,TO,Stl,Blk,PF,Pos,OffRtg,DefRtg,NetRtg,AstR,TOR,TSP,eFGP,FTAR,ORP,DRP,RP
0,2014,1101,20.333333333333332,0.4101840781601445,50.142857142857146,6.666666666666667,0.3802753537410191,17.857142857142858,15.80952380952381,0.7580308307888399,21.19047619047619,8.0,20.333333333333332,10.0,15.0,5.761904761904762,1.4761904761904763,21.571428571428573,63.84639999999999,98.47543964148788,123.32454525113984,-24.84910560965198,11.674179608929498,18.043777001646454,53.30598634544969,0.4775939181144335,0.43639057121518543,0.24678423201603156,0.6689917236607135,0.45182763533835474
1,2015,1101,21.428571428571427,0.407500577052429,52.92857142857143,7.25,0.38150667281719236,19.178571428571427,10.892857142857142,0.7363277405950727,14.964285714285714,8.25,19.642857142857142,11.857142857142858,12.821428571428571,5.928571428571429,1.1785714285714286,20.607142857142858,61.61485714285715,98.2205338280691,116.83836849002371,-18.617834661954614,13.962819543714827,15.341652246238597,51.225764393296075,0.4766154059834736,0.290003790387693,0.24047534728590161,0.6617689657269482,0.43552941672158096
2,2016,1101,23.814814814814813,0.44260616182779344,53.925925925925924,6.851851851851852,0.36451711389698405,18.85185185185185,15.37037037037037,0.7014018782672923,21.74074074074074,8.185185185185185,22.51851851851852,12.88888888888889,13.407407407407407,6.7407407407407405,2.4444444444444446,22.37037037037037,66.34382222222222,105.03170937144124,115.09769915211443,-10.065989780673142,14.224533182418542,15.036863612555052,55.03302174283028,0.5066460085896431,0.40579039120962174,0.24264664569837688,0.7234403376866951,0.4745059700949457
3,2017,1101,24.44,0.4578666826891927,53.32,7.08,0.3710258548137272,19.08,11.92,0.6404378048373863,18.56,7.56,22.88,13.6,14.48,7.0,2.76,22.16,65.62483199999998,103.35509044320484,110.73731988269991,-7.382229439495052,15.04726834484842,16.302584601975234,55.19991612498311,0.5245134347542283,0.3710853980562694,0.23111959115094435,0.6853465331572298,0.4602505637986173
4,2018,1101,25.51851851851852,0.45236643072449245,56.48148148148148,6.481481481481482,0.3272398875573965,19.962962962962962,13.148148148148149,0.7056052653324116,18.666666666666668,9.037037037037036,23.22222222222222,13.88888888888889,14.407407407407407,7.148148148148148,3.6296296296296298,21.037037037037038,67.31164444444444,105.24915489964842,108.43674767304601,-3.1875927733976153,14.8011378468054,15.473594771500458,54.70136998545141,0.5106966174331781,0.34201259610418283,0.2623679574058534,0.705929532475497,0.4792185364369655
5,2019,1101,25.344827586206897,0.458860759455628,55.241379310344826,7.241379310344827,0.38872701097658274,18.896551724137932,13.793103448275861,0.7264882824412799,19.06896551724138,9.068965517241379,22.896551724137932,14.620689655172415,11.655172413793103,8.0,2.5517241379310347,19.137931034482758,63.792331034482764,112.70149010324104,101.82009721453201,10.881392888709014,16.227588041099374,12.860742109513517,56.41556818972281,0.5248112871109302,0.34882355873831183,0.2742238176071411,0.7255861278988046,0.4953132691318498
6,2003,1102,19.142857142857142,0.4861490139383912,39.785714285714285,7.821428571428571,0.36763722239796925,20.821428571428573,11.142857142857142,0.6424019143658388,17.107142857142858,4.178571428571429,16.821428571428573,13.0,11.428571428571429,5.964285714285714,1.7857142857142858,18.75,52.23291428571429,109.41367630575873,109.19643680713394,0.21723949862478317,17.806128023920014,15.961456437138832,60.62480994758517,0.5844074301306517,0.44669257261627127,0.16823539157048675,0.6303842938062127,0.4100222298515991
7,2004,1102,20.285714285714285,0.48467788645455545,42.035714285714285,8.464285714285714,0.38859494140683454,22.214285714285715,11.142857142857142,0.6882760137731628,15.714285714285714,6.142857142857143,15.357142857142858,13.25,10.785714285714286,7.785714285714286,2.357142857142857,16.642857142857142,51.76045714285715,116.04402394907733,97.50194554773597,18.54207840134136,17.953650346726672,14.843501098920173,61.49639652574751,0.5867866856366024,0.3854178884265675,0.24754766749526075,0.6292388605876412,0.43693804256418073
8,2005,1102,21.413793103448278,0.4521808694938242,47.724137931034484,8.89655172413793,0.3720738242412053,24.413793103448278,9.517241379310345,0.7357734395767311,13.068965517241379,7.620689655172414,15.413793103448276,13.655172413793103,10.068965517241379,8.793103448275861,1.7241379310344827,16.482758620689655,53.663999999999994,114.73919563373343,102.70301738847023,12.036178245263194,17.617521674942992,13.023443949786898,57.47855576007084,0.5456405028789377,0.28668072514079623,0.26867338096757193,0.6461099889763988,0.43825585306953385
9,2006,1102,21.928571428571427,0.48517712332574675,45.57142857142857,8.607142857142858,0.39968415773302607,21.678571428571427,11.035714285714286,0.7453847768711216,14.785714285714286,6.785714285714286,17.785714285714285,14.178571428571429,10.928571428571429,8.0,2.107142857142857,15.392857142857142,54.186514285714274,117.50543880292994,100.68155543697284,16.8238833659571,18.289126994665562,14.038154218018397,61.244156656232505,0.5805643328958442,0.3342777699986483,0.26112731787863513,0.6376309810408475,0.45728497797863854
